dx,opname,optype,approach,position,count
Atherosclerosis obliterans without gangrene,Aortoiliac bypass,Vascular,Open,Supine,3
Rectal cancer,Low anterior resection,Colorectal,Videoscopic,Supine,3
Abnormal finding on lung imaging ,Lung wedge resection,Minor resection,Videoscopic,Right lateral decubitus,3
"Colon cancer, rectosigmoid",Anterior resection,Colorectal,Open,Supine,3
Hyperparathyroidism ,Parathyroidectomy,Thyroid,Open,Supine,3
Lung cancer,Lung lobectomy,Major resection,Videoscopic,Left lateral decubitus,3
Mediastinal mass,Thymectomy,Others,Videoscopic,Supine,3
"Solid pseudopapillary tumor of pancreas, malignant",Pylorus preserving pancreaticoduodenectomy,Biliary/Pancreas,Open,Supine,3
Interstitial lung disease ,Biopsy,Minor resection,Videoscopic,Right lateral decubitus,3
Rectal cancer ,Low anterior resection,Colorectal,Videoscopic,Supine,3
Hepatocellular carcinoma ,Liver sectionectomy,Hepatic,Videoscopic,Lithotomy,3
Surgical wound dehiscence,Closure of wound,Others,Open,Supine,3
"Neuroendocrine tumor of pancreas, G1",Pylorus preserving pancreaticoduodenectomy,Biliary/Pancreas,Robotic,Supine,3
Cholecystitis ,Cholecystectomy,Biliary/Pancreas,Videoscopic,Supine,3
Ileus,Exploratory laparotomy,Others,Open,Supine,3
Colon cancer,Exploratory laparotomy,Others,Open,Supine,3
Colon cancer ,Hemicolectomy,Colorectal,Videoscopic,Lithotomy,3
Liver transplant status,Incisional hernia repair,Colorectal,Open,Supine,3
Colon cancer,Hemicolectomy,Colorectal,Videoscopic,Supine,3
Metastatic cancer to the lung unspecified side,Metastasectomy,Minor resection,Videoscopic,Left lateral decubitus,3
Lung cancer unspecified side,Lung wedge resection,Minor resection,Videoscopic,Right lateral decubitus,3
Abnormal finding on lung imaging,Lung wedge resection,Minor resection,Videoscopic,Left lateral decubitus,3
Perianal abscess ,Incision and drainage,Others,Open,Prone,3
Cholecystitis,Cholecystectomy,Biliary/Pancreas,Robotic,Supine,3
"Colon cancer, descending",Hemicolectomy,Colorectal,Open,Supine,3
Mediastinal mass ,Excision,Others,Open,Right lateral decubitus,3
Ileus,Adhesiolysis,Others,Open,Supine,3
Unilateral inguinal hernia,Hernia repair,Colorectal,Open,Supine,3
Stomach cancer early,Distal gastrectomy,Stomach,Videoscopic,Supine,3
Unspecified gastric cancer ,Distal gastrectomy,Stomach,Videoscopic,Supine,3
Perianal abscess,Incision and drainage,Others,Open,Prone,3
"Intraductal papillary mucinous neoplasm of pancreas, invasive",Pylorus preserving pancreaticoduodenectomy,Biliary/Pancreas,Open,Supine,3
Pancreatic cancer ,Exploratory laparotomy,Others,Open,Supine,3
"Aneurysm, abdominal aorta",Endovascular aneurysmal repair,Vascular,Open,Supine,3
Lung cancer right,Lung lobectomy,Major resection,Videoscopic,Supine,3
Pancreatic cancer ,Pancreaticoduodenectomy,Biliary/Pancreas,Open,Supine,3
Gallbladder stonewithout obstruction,Cholecystectomy,Biliary/Pancreas,Videoscopic,Supine,3
Colon cancer,Excision,Others,Open,Supine,3
"Colon cancer, rectosigmoid",Exploratory laparotomy,Others,Open,Lithotomy,3
Chronic kidney disease ,Kidney transplantation,Transplantation,Open,Supine,3
Varicose vein of lower limb ,Ligation and stripping,Vascular,Open,Prone,3
Lung cancer left,Pneumonectomy,Major resection,Videoscopic,Right lateral decubitus,3
Hyperparathyroidism,Subtotal parathyroidectomy,Thyroid,Open,Supine,3
Rectal prolapse ,Delorme's operation,Colorectal,Open,Prone,3
Mediastinal mass ,Thymectomy,Others,Videoscopic,Supine,3
Advanced gastric cancer,Distal gastrectomy,Stomach,Videoscopic,Reverse Trendelenburg,2
Nontuberculous mycobacterial infection,Lung lobectomy,Major resection,Videoscopic,Left lateral decubitus,2
Gross hematuria ,Transurethral resection of bladder tumor,Minor resection,Videoscopic,Lithotomy,2
Advanced gastric cancer ,Diagnostic laparoscopy,Others,Videoscopic,Supine,2
Pelvic organ prolapse,Radical hysterectomy,Major resection,Videoscopic,Lithotomy,2
Squamous cell carcinoma of lung left,Lung lobectomy,Major resection,Videoscopic,Right lateral decubitus,2
Advanced gastric cancer ,Exploratory laparotomy,Others,Open,Supine,2
Solitary pulmonary nodule,Lung sgmentectomy,Minor resection,Videoscopic,Left lateral decubitus,2
Alcoholic liver cirrhosis with esophageal varix with ascites,Liver transplantation,Transplantation,Open,Supine,2
Metastatic cancer to the lung,Metastasectomy,Minor resection,Videoscopic,Right lateral decubitus,2
Benign neoplasm of appendix,Appendectomy,Colorectal,Videoscopic,Supine,2
Rectal prolapse,Rectal prolapse operation,Colorectal,Open,Lithotomy,2
"Aneurysm, renal artery",Aortorenal bypass,Vascular,Open,Supine,2
Abnormal electrocardiogram,Arteriovenous fistula,Vascular,Open,Supine,2
Hepatocellular carcinoma ,Exploratory laparotomy,Others,Open,Supine,2
Jejunal cancer,Small bowel segmental resection,Stomach,Open,Supine,2
"Gastric submucosal tumor, unknown behavior",Gastric wedge resection,Stomach,Videoscopic,Supine,2
Primary hyperoxaluria,Liver transplantation,Transplantation,Open,Supine,2
Biliary atresia ,Liver transplantation,Transplantation,Open,Supine,2
Antenatal care for normal pregnancy unspecified duration,Cesarean section,Others,Open,Supine,2
"Cervical cancer, stage 2A2",Radical hysterectomy,Major resection,Videoscopic,Supine,2
Liver donor,Liver transplantation,Transplantation,Open,Supine,2
Colon cancer,Low anterior resection,Colorectal,Open,Lithotomy,2
Liver cirrhosis with hepatitis BChild-Pugh C,Liver transplantation,Transplantation,Open,Supine,2
Liposarcoma,Exploratory laparotomy,Others,Open,Lithotomy,2
Fibroadenoma of breast right,Excision,Breast,Open,Supine,2
Gallbladder sludge without obstruction,Cholecystectomy,Biliary/Pancreas,Videoscopic,Supine,2
"Tubulovillous adenoma, colon",Hemicolectomy,Colorectal,Open,Supine,2
Pancreatic cyst,Spleen preserving distal pancreatectomy,Biliary/Pancreas,Videoscopic,Supine,2
Atherosclerosis obliterans without gangrene,Endarterectomy,Vascular,Open,Supine,2
"Colon cancer, sigmoid",Exploratory laparotomy,Others,Open,Supine,2
Cadaveric donor ,Nephrectomy,Transplantation,Open,Supine,2
Paraganglioma,Excision,Colorectal,Open,Supine,2
Umbilical hernia ,Hernia repair,Colorectal,Open,Supine,2
Esophageal cancer ,Esophagectomy,Others,Robotic,Supine,2
Krukenberg tumor unspecified side,Salpingo-oophorectomy,Minor resection,Videoscopic,Lithotomy,2
Metastatic cancer to the lung unspecified side,Metastasectomy,Minor resection,Videoscopic,Right lateral decubitus,2
Acute appendicitis with perforation,Appendectomy,Colorectal,Videoscopic,Supine,2
End stage renal disease,Exploratory laparotomy,Others,Open,Supine,2
Hyperhidrosis ,Thoracic sympathectomy,Others,Videoscopic,Sitting,2
Appendix mucocele ,Appendectomy,Colorectal,Videoscopic,Supine,2
Myoma uteri,Myomectomy,Minor resection,Videoscopic,Supine,2
"Colon cancer, ascending",Extended hemicolectomy,Colorectal,Open,Supine,2
Thrombocytopenia,Splenectomy,Biliary/Pancreas,Videoscopic,Supine,2
Appendix mucocele,Ileocecectomy,Colorectal,Videoscopic,Supine,2
Breast cancer unspecified side,Wide excision,Others,Open,Supine,2
Pelvic mass,Exploratory laparotomy,Major resection,Open,Supine,2
Neurogenic tumor,Excision,Others,Open,Supine,2
Hepatocellular carcinoma,Liver sectionectomy,Hepatic,Videoscopic,Supine,2
"Colon cancer, rectosigmoid",Low anterior resection,Colorectal,Videoscopic,Supine,2
Abnormal finding on lung imaging,Lung wedge resection,Minor resection,Videoscopic,Right lateral decubitus,2
Pilonidal sinus,Excision,Others,Open,Prone,2
Endometrial cancer unknown stage,Extended hysterectomy,Major resection,Robotic,Lithotomy,2
Renal cell carcinoma right,Metastasectomy,Minor resection,Videoscopic,Left lateral decubitus,2
Esophageal cancer,Esophagectomy,Others,Open,Left lateral decubitus,2
Rectal cancer,Low anterior resection,Colorectal,Videoscopic,Trendelenburg,2
Colon cancer ,Hemicolectomy,Colorectal,Open,Lithotomy,2
Open wound of chest wall ,Resection of chest wall with reconstruction,Others,Open,Supine,2
Gallbladder stone without obstruction,Cholecystectomy,Biliary/Pancreas,Robotic,Reverse Trendelenburg,2
"Colon cancer, transverse",Transverse colectomy,Colorectal,Open,Supine,2
Endometrial cancer unknown stage ,Hysterectomy,Major resection,Videoscopic,Lithotomy,2
Adenomyomatosis of gallbladder,Cholecystectomy,Biliary/Pancreas,Videoscopic,Reverse Trendelenburg,2
Colon cancer,Low anterior resection,Colorectal,Videoscopic,Lithotomy,2
Neurogenic tumor ,Excision,Others,Open,Supine,2
Hepatocellular carcinoma ,Lung wedge resection,Minor resection,Videoscopic,Left lateral decubitus,2
Mediastinal mass,Excision,Others,Videoscopic,Supine,2
Gallbladder cancer,Segmental resection of bile duct,Biliary/Pancreas,Open,Supine,2
Adenocarcinoma of ampulla of vater ,Pylorus preserving pancreaticoduodenectomy,Biliary/Pancreas,Open,Supine,2
Kidney donor ,Donor nephrectomy,Transplantation,Videoscopic,Left kidney,2
Rectal cancer ,Transanal excision,Colorectal,Open,Lithotomy,2
Papillary thyroid carcinoma ,Thyroid lobectomy,Thyroid,Robotic,Supine,2
"Cholangiocarcinoma, intrahepatic",Liver segmentectomy,Hepatic,Videoscopic,Lithotomy,2
Choledochal cyst,Excision,Biliary/Pancreas,Videoscopic,Supine,2
"Intraductal papillary mucinous neoplasm of pancreas, benign",Pylorus preserving pancreaticoduodenectomy,Biliary/Pancreas,Open,Supine,2
Endometrial hyperplasia,Radical hysterectomy,Major resection,Videoscopic,Lithotomy,2
"Colon cancer, sigmoid",Excision,Others,Open,Supine,2
Lung nodule ,Lung sgmentectomy,Minor resection,Videoscopic,Right lateral decubitus,2
Familial adenomatous polyposis ,Total proctocolectomy,Colorectal,Videoscopic,Lithotomy,2
Liver cirrhosis with hepatitis B Child-Pugh C,Liver transplantation,Transplantation,Open,Supine,2
Colon cancer ,Anterior resection,Colorectal,Videoscopic,Lithotomy,2
"Cervical cancer, stage 1B1",Radical hysterectomy,Major resection,Videoscopic,Lithotomy,2
"Cholangiocarcinoma, intrahepatic",Liver segmentectomy,Hepatic,Open,Supine,2
Pilonidal sinus ,Excision,Colorectal,Open,Prone,2
Klatskin tumor,Segmental resection of bile duct,Biliary/Pancreas,Open,Supine,2
"Abnormal chest X-ray, lung",Lung wedge resection,Minor resection,Videoscopic,Left lateral decubitus,2
Left inguinal hernia not specified as recurrent,Hernia repair,Colorectal,Open,Supine,2
Kidney donor,Donor nephrectomy,Transplantation,Videoscopic,Supine,2
Colon cancer ,Hemicolectomy,Colorectal,Open,Supine,2
Pancreatic disease,Partial pancreatectomy,Biliary/Pancreas,Open,Supine,2
Colorectal cancer ,Anterior resection,Colorectal,Videoscopic,Lithotomy,2
Cecal cancer ,Hemicolectomy,Colorectal,Videoscopic,Lithotomy,2
"Atherosclerosis obliterans, limb",Femoro-popliteal bypass,Vascular,Open,Supine,2
Unspecified gastric cancer,Total gastrectomy,Stomach,Open,Supine,2
Atherosclerosis obliteranswithout gangrene,Endarterectomy,Vascular,Open,Supine,2
Liver cirrhosis,Liver transplantation,Transplantation,Open,Supine,2
"Colon cancer, descending",Anterior resection,Colorectal,Open,Lithotomy,2
Rectal cancer ,Metastasectomy,Minor resection,Videoscopic,Left lateral decubitus,2
Thyroid nodule,Excision,Others,Open,Supine,2
Liposarcoma,Excision,Others,Open,Lithotomy,2
Choledochal cyst,Choledochal cyst excision,Biliary/Pancreas,Robotic,Supine,2
Mediastinal mass ,Excision,Others,Open,Left lateral decubitus,2
Bladder cancer ,Radical cystectomy,Major resection,Robotic,Lithotomy,2
"Neuroendocrine tumor of duodenum, G1",Distal gastrectomy,Stomach,Videoscopic,Supine,2
Ductal carcinoma in situ of breast left,Wide excision,Others,Open,Supine,2
Metastatic cancer to the lung left,Lung wedge resection,Minor resection,Videoscopic,Right lateral decubitus,2
Colon cancer ,Metastasectomy,Minor resection,Videoscopic,Right lateral decubitus,2
Unspecified mass (localized swelling),Excision,Others,Open,Supine,2
Malignant neoplasm of pancreas head,Pylorus preserving pancreaticoduodenectomy,Biliary/Pancreas,Open,Supine,2
Pancreatic cyst ,Distal pancreatectomy,Biliary/Pancreas,Videoscopic,Supine,2
Acute appendicitis with peritoneal abscess,Ileocecectomy,Colorectal,Open,Supine,2
Infiltrating ductal carcinoma of breast left,Wide excision,Others,Open,Supine,2
Early gastric cancer,Distal gastrectomy,Stomach,Robotic,Reverse Trendelenburg,2
Abdominal mass,Excision,Others,Open,Prone,2
Gallbladder cancer ,Metastasectomy,Minor resection,Videoscopic,Right lateral decubitus,2
Type 2 diabetes mellitus,Distal gastrectomy,Stomach,Videoscopic,Supine,2
Symptomatic gallbladder stone with obstruction,Cholecystectomy,Biliary/Pancreas,Videoscopic,Reverse Trendelenburg,2
Intraductal papilloma of breast left,Excision,Breast,Open,Supine,2
Osteosarcoma ,Metastasectomy,Minor resection,Videoscopic,Left lateral decubitus,2
Thymic cyst ,Excision,Others,Open,Supine,2
Abdominal mass,Exploratory laparotomy,Others,Open,Supine,2
"Colon cancer, sigmoid",Low anterior resection,Colorectal,Videoscopic,Supine,2
bladder cancer ,Transurethral resection of bladder tumor,Minor resection,Videoscopic,Lithotomy,2
"Aneurysm, popliteal artery",Resection of popliteal artery,Vascular,Open,Supine,2
Breast cancer unspecified side,Total mastectomy,Breast,Open,Supine,2
"Colon cancer, sigmoid",Total colectomy,Colorectal,Open,Lithotomy,2
"Intraductal papillary mucinous neoplasm of pancreas, benign",Spleen preserving distal pancreatectomy,Biliary/Pancreas,Videoscopic,Supine,2
Left inguinal hernia recurrent,Hernia repair,Colorectal,Open,Supine,2
"Colon cancer, rectosigmoid",Anterior resection,Colorectal,Videoscopic,Supine,2
Neurogenic tumor,Excision,Others,Open,Right lateral decubitus,2
Pancreatic disease ,Distal pancreatectomy,Biliary/Pancreas,Videoscopic,Supine,2
Renal cell carcinoma unspecified side,Exploratory laparotomy,Others,Open,Supine,2
"Colon cancer, descending",Hemicolectomy,Colorectal,Open,Lithotomy,2
Colon cancer ,subtotal colectomy,Colorectal,Videoscopic,Lithotomy,2
Rectal cancer,Low anterior resection,Colorectal,Robotic,Lithotomy,2
Hepatocellular carcinoma ,Hemihepatectomy,Hepatic,Open,Supine,2
Duodenal cancer,Pylorus preserving pancreaticoduodenectomy,Biliary/Pancreas,Open,Supine,2
infiltrating ductal carcinoma of breast Right,Metastasectomy,Minor resection,Videoscopic,Left lateral decubitus,2
Hepatocellular carcinoma,Liver sectionectomy,Hepatic,Open,Lithotomy,2
Adhesive ileus,Small bowel segmental resection,Stomach,Open,Supine,2
Early gastric cancer ,Pylorus preserving gastrectomy,Stomach,Robotic,Supine,2
Rectal prolapse,Delorme's operation,Colorectal,Open,Prone,2
Gallbladder stone with cholecystitis without obstruction,Cholecystectomy,Biliary/Pancreas,Videoscopic,Reverse Trendelenburg,2
Early gastric cancer,Total gastrectomy,Stomach,Videoscopic,Reverse Trendelenburg,2
Symptomatic gallbladder stone with obstruction,Cholecystectomy,Biliary/Pancreas,Videoscopic,Lithotomy,2
Infiltrating ductal carcinoma of breast unspecified side,Simple mastectomy,Breast,Open,Supine,2
Breast cancer left,Wide excision,Others,Open,Supine,2
Colon cancer,Anterior resection,Colorectal,Open,Supine,2
Colorectal cancer,Anterior resection,Colorectal,Open,Lithotomy,2
Ductal carcinoma in situ of breast left,Total mastectomy,Breast,Open,Supine,2
Metastatic cancer to the liver,Liver sectionectomy,Hepatic,Open,Supine,2
Metastatic cancer to the lung unspecified side,Metastasectomy,Minor resection,Open,Right lateral decubitus,2
Epithelial ovarian cancer unknown stage unspecified side,Diagnostic laparoscopy,Minor resection,Videoscopic,Lithotomy,2
Early gastric cancer,Closure of wound,Others,Open,Supine,2
Neck mass,Excision,Others,Open,Supine,2
"Colon cancer, sigmoid",Anterior resection,Colorectal,Videoscopic,Trendelenburg,2
Mediastinal mass ,Excision,Others,Videoscopic,Right lateral decubitus,2
End stage renal disease ,Bleeding control,Others,Open,Supine,2
Abnormal finding on lung imaging ,Lung sgmentectomy,Minor resection,Videoscopic,Right lateral decubitus,2
"Rectal prolapse, female",Delorme's operation,Colorectal,Open,Prone,2
"Atypical ductal hyperplasia, breast",Wide excision,Others,Open,Supine,2
Abdominal mass ,Excision,Colorectal,Open,Supine,2
Fungus ball,Lung wedge resection,Minor resection,Videoscopic,Right lateral decubitus,2
Pancreatic cyst,Distal pancreatectomy,Biliary/Pancreas,Videoscopic,Supine,2
Colon cancer,Ileostomy repair,Colorectal,Open,Supine,2
Klatskin tumor,Hepatic hilar resection,Biliary/Pancreas,Open,Supine,2
Rectal cancer,Debulking surgery,Others,Open,Supine,2
Alagille syndrome ,Liver transplantation,Transplantation,Open,Supine,2
Wilson' disease,Liver transplantation,Transplantation,Open,Supine,2
Wilson' disease ,Liver transplantation,Transplantation,Open,Supine,2
Gallbladder polyp ,Cholecystectomy,Biliary/Pancreas,Robotic,Supine,2
Rectal cancer ,Ultralow anterior resection,Colorectal,Videoscopic,Lithotomy,2
Myoma uteri,Hysterectomy,Major resection,Videoscopic,Trendelenburg,2
Duodenal cancer ,Pancreaticoduodenectomy,Biliary/Pancreas,Open,Supine,2
Hepatocellular carcinoma,Lung wedge resection,Minor resection,Videoscopic,Left lateral decubitus,2
Carcinoid tumor of lung left,Lung lobectomy,Major resection,Videoscopic,Right lateral decubitus,2
Rectal cancer,Exploratory laparotomy,Others,Open,Lithotomy,2
Ampulla of vater cancer ,Pylorus preserving pancreaticoduodenectomy,Biliary/Pancreas,Open,Supine,2
Pericardial cyst,Excision,Others,Videoscopic,Supine,2
Acute cholecystitis,Cholecystectomy,Biliary/Pancreas,Videoscopic,Reverse Trendelenburg,2
Abdominal mass,Excision,Others,Open,Supine,2
Neurogenic tumor,Excision,Others,Videoscopic,Left lateral decubitus,2
Colonic polyp,Hemicolectomy,Colorectal,Open,Supine,2
Colon cancer ,Metastasectomy,Minor resection,Videoscopic,Left lateral decubitus,2
Cecal cancer,Exploratory laparotomy,Others,Open,Supine,2
Pneumothorax ,Bullectomy,Minor resection,Videoscopic,Left lateral decubitus,2
End stage renal disease,Simultaneous pancreas-kidney transplantation,Transplantation,Open,Supine,2
Malignant melanoma ,Inguinal lymph node dissection,Colorectal,Open,Supine,2
Peritonitis,Exploratory laparotomy,Others,Open,Supine,2
"Cervical cancer, stage 1B2",Radical hysterectomy,Major resection,Videoscopic,Lithotomy,2
Appendiceal cancer,Hemicolectomy,Colorectal,Videoscopic,Lithotomy,2
"Neuroendocrine tumor of pancreas, G1",Enucleation of pancreas,Biliary/Pancreas,Open,Supine,2
Lung cancer left,Lung sgmentectomy,Minor resection,Videoscopic,Left lateral decubitus,2
"Colon cancer, ascending",Exploratory laparotomy,Others,Open,Supine,2
"Serous cystic tumor of pancreas, benign",Distal pancreatectomy,Biliary/Pancreas,Videoscopic,Supine,2
Thyroid nodule ,Thyroid lobectomy,Thyroid,Robotic,Supine,2
Liposarcoma,Excision,Others,Open,Supine,2
Esophageal cancer,Ivor Lewis operation,Others,Open,Supine,2
Malignant neoplasm of breast right,Breast-conserving surgery,Breast,Open,Supine,2
Colon cancer ,Low anterior resection,Colorectal,Open,Lithotomy,2
Hepatocellular carcinoma,Excision,Others,Open,Supine,2
Thyroid nodule ,Total thyroidectomy,Thyroid,Videoscopic,Supine,2
Early gastric cancer,Pylorus preserving gastrectomy,Stomach,Robotic,Supine,2
Nontuberculous mycobacterial infection ,Lung lobectomy,Major resection,Videoscopic,Left lateral decubitus,2
end stage renal disease ,Kidney transplantation,Transplantation,Open,Supine,2
Autoimmune hepatitis ,Liver transplantation,Transplantation,Open,Supine,2
Metastatic cancer to the liver ,Liver segmentectomy,Hepatic,Open,Supine,2
Lung cancer left,Sleeve lobectomy,Major resection,Open,Right lateral decubitus,2
Klatskin tumor,Hepatic hilar resection,Hepatic,Open,Supine,2
Metastatic cancer to the liver,Hemihepatectomy,Hepatic,Videoscopic,Supine,2
Pheochromocytoma ,Adrenalectomy,Others,Videoscopic,Left lateral decubitus,2
Thyroid nodule,Thyroid lobectomy,Thyroid,Robotic,Supine,2
Invasive bladder cancer ,Radical cystectomy,Major resection,Robotic,Lithotomy,2
Accessory breast,Excision,Breast,Open,Supine,2
Unspecified gastric cancer,Subtotal gastrectomy,Stomach,Open,Supine,2
Breast disease ,Excision,Breast,Open,Supine,2
Solitary pulmonary nodule,Lung lobectomy,Major resection,Videoscopic,Right lateral decubitus,2
Lymphadenopathy,Excision,Breast,Open,Supine,2
Liver transplant status,Vascular repair,Vascular,Open,Supine,2
Colon perforation,Hartmann procedure,Colorectal,Open,Lithotomy,2
Early gastric cancer,Subtotal gastrectomy,Stomach,Open,Supine,2
Advanced gastric cancer,Colostomy,Colorectal,Open,Supine,2
Metastatic cancer to the lung,Metastasectomy,Minor resection,Videoscopic,Left lateral decubitus,2
Metastatic cancer to the liver,Liver segmentectomy,Hepatic,Open,Supine,2
Klatskin tumor ,Extended hemihepatectomy,Hepatic,Open,Supine,2
"Cholangiocarcinoma, intrahepatic",Hemihepatectomy,Hepatic,Videoscopic,Lithotomy,2
Lung cancer right,Sleeve lobectomy,Major resection,Open,Left lateral decubitus,2
"Colon cancer, sigmoid",Ileostomy repair,Colorectal,Open,Supine,2
Anal polyp,Transanal excision,Colorectal,Open,Prone,2
Rectal cancer,Hartmann procedure,Colorectal,Open,Lithotomy,2
Chronic kidney disease,Arteriovenous fistula,Vascular,Open,Supine,2
Lymphoma,Exploratory laparotomy,Others,Open,Supine,2
"Early gastric cancer, adenocarcinoma",Distal gastrectomy,Stomach,Videoscopic,Supine,2
Endometrial cancer unknown stage,Hysterectomy,Major resection,Videoscopic,Lithotomy,2
Bronchoesophageal fistula ,Lung lobectomy,Major resection,Open,Left lateral decubitus,2
Tremor,Hernia repair,Colorectal,Open,Supine,2
Right inguinal hernia,Hernia repair,Colorectal,Open,Supine,2
Asymptomatic gallbladder stone without obstruction,Cholecystectomy,Biliary/Pancreas,Robotic,Supine,2
Bronchiectasis ,Lung lobectomy,Major resection,Videoscopic,Left lateral decubitus,2
Ground-glass opacity,Lung lobectomy,Major resection,Videoscopic,Left lateral decubitus,2
Rectal cancer,Ultralow anterior resection,Colorectal,Videoscopic,Lithotomy,2
Thyroid nodule,Total thyroidectomy,Thyroid,Robotic,Supine,2
Constipation,Exploratory laparotomy,Others,Open,Supine,2
Myoma uteri,Radical hysterectomy,Major resection,Videoscopic,Supine,2
Ductal carcinoma in situ of breast right,Simple mastectomy,Breast,Open,Supine,2
"Neuroendocrine tumor of rectum, G1",Low anterior resection,Colorectal,Videoscopic,Lithotomy,2
Adhesive ileus ,Exploratory laparotomy,Others,Open,Supine,2
Bladder cancer,Transurethral resection of bladder tumor,Minor resection,Videoscopic,Lithotomy,2
Adenomyosis of uterus,Hysterectomy,Major resection,Videoscopic,Lithotomy,2
Ileus ,Exploratory laparotomy,Others,Open,Supine,2
Liver cirrhosis with hepatitis B Unspecified,Liver transplantation,Transplantation,Open,Supine,2
Disorder of kidney and ureter,Nephrectomy,Major resection,Robotic,Left lateral decubitus,2
Adrenal incidentaloma ,Adrenalectomy,Others,Videoscopic,Right lateral decubitus,2
Early gastric cancer ,Gastric wedge resection,Stomach,Videoscopic,Supine,2
Pancreatic disease,Spleen preserving distal pancreatectomy,Biliary/Pancreas,Videoscopic,Supine,2
Breast cancer right,Excision,Breast,Open,Supine,2
Thyroid cancer,Total thyroidectomy,Thyroid,Open,Supine,2
Gallbladder polyp,Cholecystectomy,Biliary/Pancreas,Videoscopic,Reverse Trendelenburg,2
Abnormal finding on lung imaging ,Lung lobectomy,Major resection,Videoscopic,Right lateral decubitus,2
Choledochal cyst,Excision,Biliary/Pancreas,Open,Supine,2
Esophageal cancer,Esophagectomy,Others,Open,Supine,2
Abscess of other site,Debridement of wound,Others,Open,Supine,2
Rectal cancer,Excision,Others,Open,Lithotomy,2
Twin pregnancy,Cesarean section,Others,Open,Supine,2
Colorectal cancer,Transanal excision,Colorectal,Open,Prone,2
Colon cancer ,Anterior resection,Colorectal,Open,Lithotomy,2
Pancreatic cyst,Distal pancreatectomy,Biliary/Pancreas,Open,Supine,2
Solitary pulmonary nodule ,Lung lobectomy,Major resection,Videoscopic,Right lateral decubitus,2
Primary hyperparathyroidism,Parathyroidectomy,Thyroid,Open,Supine,2
Epithelial ovarian cancer unknown stage unspecified side,Debulking surgery,Major resection,Open,Lithotomy,2
Abdominal mass ,Exploratory laparotomy,Others,Open,Supine,2
Intrahepatic duct stonewithout obstruction,Hemihepatectomy,Hepatic,Videoscopic,Supine,2
Abnormal finding on lung imaging,Lung lobectomy,Major resection,Videoscopic,Left lateral decubitus,2
Colonic polyp,Hemicolectomy,Colorectal,Videoscopic,Lithotomy,2
Aortic aneurysm ,Aneurysmal repair,Vascular,Open,Prone,1
Femoral hernia,Hernia repair,Colorectal,Open,Supine,1
"Tubulovillous adenoma, rectum",Transanal excision,Colorectal,Open,Prone,1
Malignant neoplasm of rectosigmoid junction,Anterior resection,Colorectal,Videoscopic,Supine,1
Cholangitis,Cholecystectomy,Biliary/Pancreas,Videoscopic,Supine,1
Invasive thymoma ,Thymectomy,Others,Open,Supine,1
"Abnormal chest CT, lung",Lung wedge resection,Minor resection,Open,Right lateral decubitus,1
Parastomal hernia,Hernia repair,Colorectal,Open,Lithotomy,1
Enterocutaneous fistula ,Fistulectomy,Stomach,Open,Supine,1
Gallbladder disease ,Cholecystectomy,Biliary/Pancreas,Open,Supine,1
Gastrointestinal stromal tumor,Distal gastrectomy,Stomach,Videoscopic,Reverse Trendelenburg,1
"Mucinous cystic neoplasm of pancreas, borderline",Pylorus preserving pancreaticoduodenectomy,Biliary/Pancreas,Robotic,Supine,1
end stage renal disease,Kidney transplantation,Transplantation,Open,Supine,1
Cholecystitis ,Hemihepatectomy,Hepatic,Videoscopic,Supine,1
Malignant neoplasm of chest wall,Excision,Others,Open,Supine,1
Neuroendocrine carcinoma ,Thymectomy,Others,Open,Supine,1
"Cholangiocarcinoma, intrahepatic",Lung wedge resection,Minor resection,Videoscopic,Left lateral decubitus,1
Penile cancer,Excision,Others,Open,Supine,1
Incisional hernia ,Small bowel segmental resection,Stomach,Open,Supine,1
Gastrointestinal stromal tumor of stomach,Gastric wedge resection,Stomach,Videoscopic,Lithotomy,1
Takayasu's arteritis ,Aortorenal bypass,Vascular,Open,Supine,1
Papillary thyroid adenoma,Total thyroidectomy,Thyroid,Robotic,Supine,1
Cerebral infarction,Ligation and stripping,Vascular,Open,Supine,1
varicose vein with non-specific symptoms,Ligation and stripping,Vascular,Open,Supine,1
Antenatal care for other high risk pregnancy,Cesarean section,Others,Open,Supine,1
"Colon cancer, ascending",Hartmann procedure,Colorectal,Open,Lithotomy,1
Postpartum follow up,Lung wedge resection,Minor resection,Videoscopic,Left lateral decubitus,1
Colonic polyp ,Transanal endoscopic microsurgery,Colorectal,Open,Right lateral decubitus,1
Hamartoma of lung right,Lung lobectomy,Major resection,Videoscopic,Left lateral decubitus,1
Liposarcoma of retroperitoneum ,Excision,Others,Open,Supine,1
Pseudomyxoma peritonei,Exploratory laparotomy,Others,Open,Lithotomy,1
Incompetent internal os of cervix in pregnancy,McDonald operation,Others,Open,Lithotomy,1
Congenital cystic adenomatoid malformation of lung,Lung sgmentectomy,Minor resection,Videoscopic,Left lateral decubitus,1
Early gastric cancer,Pylorus preserving gastrectomy,Stomach,Videoscopic,Lithotomy,1
Angiomyolipoma ,Excision,Others,Videoscopic,Left lateral decubitus,1
Malignant neoplasm of renal pelvis right,Transurethral resection of bladder tumor,Minor resection,Videoscopic,Lithotomy,1
Condyloma acuminata ,Excision,Colorectal,Open,Prone,1
