"dx","opname","optype","approach","position","count","ml_base_category","ml_confidence_pct","Level1_magnitude","Level2_domain","Level3_approach","Level4_subtype","Level5_modifiers","Level6_secondary_variables"
"Common bile duct cancer","Gastrojejunostomy","Stomach","Open","Supine","1","Biliary/Pancreas","78.8","Major","Abdominal / GI","Open","Gastric Resection","Malignancy | Primary | Supine","Est.Duration:2-4hr"
"Hepatocellular carcinoma","Extended hemihepatectomy","Hepatic","Videoscopic","Supine","1","Hepatic","73.5","Major","Abdominal / GI","Laparoscopic","Hepatobiliary / Pancreatic Resection","Malignancy | Primary | Supine","Est.Duration:3-6hr"
"Metastatic cancer to the lung left","Metastasectomy","Minor resection","Videoscopic","Left lateral decubitus","1","Minor resection","62.9","Major","Thoracic","Laparoscopic","Other Procedure","Malignancy | Primary | Lateral Decubitus","Est.Duration:1-3hr"
"Gastrointestinal hemorrhage","Small bowel segmental resection","Stomach","Videoscopic","Supine","1","Stomach","63.4","Major","Abdominal / GI","Laparoscopic","Colectomy / Bowel Resection","Benign/Non-malignant | Primary | Supine","Est.Duration:1-3hr"
"Hepatic failure with coma","Liver transplantation","Transplantation","Open","Supine","1","Transplantation","71.2","Major","Abdominal / GI","Open","Hepatobiliary / Pancreatic Resection","Benign/Non-malignant | Primary | Transplant/Reconstruction | Supine","Est.Duration:>6hr"
"Gastric submucosal tumor, benign","Small bowel segmental resection","Stomach","Videoscopic","Supine","1","Stomach","73.6","Major","Abdominal / GI","Laparoscopic","Colectomy / Bowel Resection","Malignancy | Primary | Supine","Est.Duration:1-3hr"
"Metastatic cancer to the abdominal cavity","Excision","Others","Open","Lithotomy","1","PituitaryTSA","63.9","Minor","Neuro / Spine","Open","Other Procedure","Malignancy | Primary | Lithotomy","Est.Duration:1-3hr"
"Cervical cancer, stage 2B","Metastasectomy","Minor resection","Videoscopic","Left lateral decubitus","1","Minor resection","66.7","Major","Thoracic","Laparoscopic","Other Procedure","Malignancy | Primary | Lateral Decubitus","Est.Duration:1-3hr"
"Early gastric cancer","Pylorus preserving gastrectomy","Stomach","Videoscopic","Prone","1","Stomach","78.6","Major","Abdominal / GI","Laparoscopic","Gastric Resection","Malignancy | Primary | Prone","Est.Duration:2-5hr"
"Embolism and thrombosis, vena cava","Resection of inferior vena cava","Vascular","Open","Supine","1","Vascular","72.8","Major","Vascular","Open","Vascular Reconstruction","Benign/Non-malignant | Primary | Supine","Est.Duration:>6hr"
"Bladder disease","Diagnostic laparoscopy","Others","Videoscopic","Supine","1","Others","78.1","Minor","Soft Tissue / Access / Misc","Laparoscopic","Other Procedure","Benign/Non-malignant | Primary | Supine","Est.Duration:2-5hr"
"Bladder cancer","Transurethral resection of bladder tumor","Others","Videoscopic","Lithotomy","1","Minor resection","85.8","Minor","Urology","Laparoscopic","Cystoscopy / TURBT","Malignancy | Primary | Lithotomy","Est.Duration:<2hr"
"Interstitial lung disease","Biopsy","Minor resection","Videoscopic","Left lateral decubitus","1","BiopsyBrain","64.1","Minor","Neuro / Spine","Laparoscopic","Access / Drainage Procedures","Benign/Non-malignant | Primary | Lateral Decubitus","Est.Duration:<2hr"
"Bony mass","Excision","Colorectal","Open","Prone","1","Others","56.1","Minor","Soft Tissue / Access / Misc","Open","Colectomy / Bowel Resection","Benign/Non-malignant | Primary | Prone","Est.Duration:1-3hr"
"Atherosclerosis of lower limb with rest pain","Aortoiliac bypass","Vascular","Open","Supine","1","Vascular","62.3","Major","Vascular","Open","Vascular Reconstruction","Benign/Non-malignant | Primary | Supine","Est.Duration:3-6hr"
"Borderline ovarian tumor unknown stage unspecified side","Exploratory laparotomy","Major resection","Open","Lithotomy","1","Others","51.4","Major","Abdominal / GI","Open","Other Procedure","Malignancy | Primary | Lithotomy","Est.Duration:2-4hr"
"Liposarcoma","Peritoneal mass excision","Others","Videoscopic","Left lateral decubitus","1","Others","70.4","Major","Soft Tissue / Access / Misc","Laparoscopic","Other Procedure","Malignancy | Primary | Lateral Decubitus","Est.Duration:1-3hr"
"Renal cell carcinoma","Excision","Others","Open","Lithotomy","1","CraniTumorSkullBase","70.2","Minor","Neuro / Spine","Open","Craniotomy","Malignancy | Primary | Lithotomy","Est.Duration:1-3hr"
"Inguinal hernianot specified as recurrent","Hernia repair","Colorectal","Open","Supine","1","Colorectal","60.3","Minor","Abdominal / GI","Open","Colectomy / Bowel Resection","Benign/Non-malignant | Revision | Supine","Est.Duration:<2hr"
"Cervical cancer, stage 2B","Ileostomy repair","Colorectal","Open","Supine","1","Colorectal","68.3","Minor","Abdominal / GI","Open","Colectomy / Bowel Resection","Malignancy | Revision | Supine","Est.Duration:<2hr"
"Ovarian cyst, right","Salpingo-oophorectomy","Minor resection","Videoscopic","Supine","1","Minor resection","75.3","Major","Abdominal / GI","Laparoscopic","Other Procedure","Benign/Non-malignant | Primary | Supine","Est.Duration:1-3hr"
"Thymolipoma","Thymectomy","Others","Videoscopic","Supine","1","Others","71.6","Major","Soft Tissue / Access / Misc","Laparoscopic","Thoracic Resection","Benign/Non-malignant | Primary | Supine","Est.Duration:2-5hr"
"Thyroid disease","Thyroid lobectomy","Thyroid","Open","Supine","1","Thyroid","74.8","Major","ENT / Head & Neck","Open","Thyroid / Parathyroid","Benign/Non-malignant | Primary | Supine","Est.Duration:1-3hr"
"Anal stricture","Incision of rectal stricture","Colorectal","Open","Prone","1","Colorectal","73.3","Minor","Abdominal / GI","Open","Colectomy / Bowel Resection","Benign/Non-malignant | Primary | Prone","Est.Duration:<2hr"
"Pelvic abscess","Debridement of wound","Others","Open","Prone","1","Others","77.7","Minor","Soft Tissue / Access / Misc","Open","Other Procedure","Benign/Non-malignant | Primary | Prone","Est.Duration:<2hr"
"Appendix mucocele","Ileocecectomy","Colorectal","Open","Supine","1","Colorectal","69.8","Major","Abdominal / GI","Open","Colectomy / Bowel Resection","Benign/Non-malignant | Primary | Supine","Est.Duration:1-3hr"
"Early gastric cancer","Exploratory laparotomy","Others","Open","Supine","1","Others","74.6","Major","Soft Tissue / Access / Misc","Open","Other Procedure","Malignancy | Primary | Supine","Est.Duration:2-4hr"
"Rectal disease","Excision","Others","Open","Prone","1","CraniTumorSkullBase","68.5","Minor","Neuro / Spine","Open","Craniotomy","Benign/Non-malignant | Primary | Prone","Est.Duration:1-3hr"
"Anal cancer","Liver segmentectomy","Hepatic","Open","Supine","1","Hepatic","79.9","Major","Abdominal / GI","Open","Hepatobiliary / Pancreatic Resection","Malignancy | Primary | Supine","Est.Duration:2-5hr"
"Esophageal cancer","Ivor Lewis operation","Others","Robotic","Supine","1","Others","75.4","Major","Soft Tissue / Access / Misc","Robotic","Other Procedure","Malignancy | Primary | Supine","Est.Duration:>6hr"
"empyema","Empyemectomy","Minor resection","Open","Left lateral decubitus","1","Minor resection","79.2","Major","Thoracic","Open","Other Procedure","Benign/Non-malignant | Primary | Lateral Decubitus","Est.Duration:2-5hr"
"Placenta previa totalis without hemorrhage","Cesarean section","Others","Open","Supine","1","Others","62.1","Major","Abdominal / GI","Open","Other Procedure","Benign/Non-malignant | Primary | Supine","Est.Duration:<2hr"
"Cholangiocarcinoma, extrahepatic","Hepatic hilar resection","Biliary/Pancreas","Open","Supine","1","Biliary/Pancreas","69.7","Major","Abdominal / GI","Open","Hepatobiliary / Pancreatic Resection","Malignancy | Primary | Supine","Est.Duration:2-5hr"
"Epithelial ovarian cancer unknown stage unspecified side","Exploratory laparotomy","Major resection","Open","Left lateral decubitus","1","Others","51.3","Major","Abdominal / GI","Open","Other Procedure","Malignancy | Primary | Lateral Decubitus","Est.Duration:2-4hr"
"Hepatocellular carcinoma","Metastasectomy","Minor resection","Videoscopic","Left lateral decubitus","1","Minor resection","66.7","Major","Thoracic","Laparoscopic","Other Procedure","Malignancy | Primary | Lateral Decubitus","Est.Duration:1-3hr"
"Atherosclerosis obliterans","Femoro-popliteal bypass","Vascular","Open","Supine","1","Vascular","86.2","Major","Vascular","Open","Vascular Reconstruction","Benign/Non-malignant | Primary | Supine","Est.Duration:>6hr"
"Abnormal chest X-ray, lung","Excision","Others","Videoscopic","Right lateral decubitus","1","CraniTumorSkullBase","67.1","Minor","Neuro / Spine","Laparoscopic","Craniotomy","Benign/Non-malignant | Primary | Lateral Decubitus","Est.Duration:1-3hr"
"Squamous cell carcinoma of small intestine","Small bowel segmental resection","Stomach","Videoscopic","Supine","1","Stomach","69.8","Major","Abdominal / GI","Laparoscopic","Colectomy / Bowel Resection","Malignancy | Primary | Supine","Est.Duration:1-3hr"
"Krukenberg tumor right","Oophorectomy","Colorectal","Open","Supine","1","Minor resection","65.8","Major","Abdominal / GI","Open","Colectomy / Bowel Resection","Malignancy | Primary | Supine","Est.Duration:1-3hr"
"Gastrointestinal stromal tumor of jejunum, benign","Small bowel segmental resection","Stomach","Videoscopic","Supine","1","Stomach","68.2","Major","Abdominal / GI","Laparoscopic","Colectomy / Bowel Resection","Malignancy | Primary | Supine","Est.Duration:1-3hr"
"Lymph node metastasis","Regional lymph node dissection","Others","Open","Trendelenburg","1","Others","85.6","Major","Soft Tissue / Access / Misc","Open","Other Procedure","Malignancy | Primary | Trendelenburg","Est.Duration:1-3hr"
"Idiopathic thrombocytopenic purpura","Splenectomy","Biliary/Pancreas","Videoscopic","Supine","1","Biliary/Pancreas","60.2","Major","Abdominal / GI","Laparoscopic","Hepatobiliary / Pancreatic Resection","Benign/Non-malignant | Primary | Supine","Est.Duration:1-3hr"
"Non-small cell lung cancer unspecified side","Lung lobectomy","Major resection","Videoscopic","Left lateral decubitus","1","Major resection","60.6","Major","Thoracic","Laparoscopic","Thoracic Resection","Malignancy | Primary | Lateral Decubitus","Est.Duration:2-4hr"
"Pyoderma gangrenosum","Splenectomy","Biliary/Pancreas","Videoscopic","Supine","1","Biliary/Pancreas","65.9","Major","Abdominal / GI","Laparoscopic","Hepatobiliary / Pancreatic Resection","Benign/Non-malignant | Primary | Supine","Est.Duration:1-3hr"
"Vesicoureteral reflux","Macroplastique injection","Minor resection","Videoscopic","Lithotomy","1","Minor resection","75.1","Minor","Thoracic","Laparoscopic","Other Procedure","Benign/Non-malignant | Primary | Lithotomy","Est.Duration:<2hr"
"Neuroendocrine tumor of pancreas, G1","Distal pancreatectomy","Biliary/Pancreas","Videoscopic","Supine","1","Biliary/Pancreas","67.2","Major","Abdominal / GI","Laparoscopic","Hepatobiliary / Pancreatic Resection","Malignancy | Primary | Supine","Est.Duration:2-4hr"
"Lung cancer left","Lung lobectomy","Major resection","Videoscopic","Supine","1","Major resection","71.5","Major","Thoracic","Laparoscopic","Thoracic Resection","Malignancy | Primary | Supine","Est.Duration:2-4hr"
"Metastatic cancer to the liver","Liver segmentectomy","Hepatic","Videoscopic","Supine","1","Hepatic","68.6","Major","Abdominal / GI","Laparoscopic","Hepatobiliary / Pancreatic Resection","Malignancy | Primary | Supine","Est.Duration:2-5hr"
"Hereditary spherocytosis","Splenectomy","Biliary/Pancreas","Videoscopic","Right lateral decubitus","1","Biliary/Pancreas","63.9","Major","Abdominal / GI","Laparoscopic","Hepatobiliary / Pancreatic Resection","Benign/Non-malignant | Primary | Lateral Decubitus","Est.Duration:1-3hr"
"Biliary stricture","Hemihepatectomy","Hepatic","Videoscopic","Supine","1","Hepatic","71.6","Major","Abdominal / GI","Laparoscopic","Hepatobiliary / Pancreatic Resection","Benign/Non-malignant | Primary | Supine","Est.Duration:3-6hr"
"Atypical endometrial hyperplasia, complex","Hysterectomy","Major resection","Videoscopic","Supine","1","Major resection","59.8","Major","Abdominal / GI","Laparoscopic","Other Procedure","Benign/Non-malignant | Primary | Supine","Est.Duration:1-3hr"
"Appendix mucocele","Ileocecectomy","Colorectal","Open","Supine","1","Colorectal","69.8","Major","Abdominal / GI","Open","Colectomy / Bowel Resection","Benign/Non-malignant | Primary | Supine","Est.Duration:1-3hr"
"Acute appendicitis with peritoneal abscess","Appendectomy","Colorectal","Videoscopic","Supine","1","Colorectal","59.3","Major","Abdominal / GI","Laparoscopic","Colectomy / Bowel Resection","Benign/Non-malignant | Primary | Supine","Est.Duration:<2hr"
"Rectovaginal fistula","Transplantation of gracilis muscle","Colorectal","Open","Prone","1","Colorectal","80.1","Major","Abdominal / GI","Open","Colectomy / Bowel Resection","Benign/Non-malignant | Primary | Transplant/Reconstruction | Prone","Est.Duration:<2hr"
"Ampulla of vater adenoma","Transduodenal ampullectomy","Biliary/Pancreas","Videoscopic","Supine","1","Biliary/Pancreas","74.5","Major","Abdominal / GI","Laparoscopic","Hepatobiliary / Pancreatic Resection","Benign/Non-malignant | Primary | Supine","Est.Duration:2-4hr"
"Cervical cancer unknown stage","Sentinel lymph node mapping","Others","Robotic","Lithotomy","1","Others","64.7","Minor","Abdominal / GI","Robotic","Other Procedure","Malignancy | Primary | Lithotomy","Est.Duration:2-5hr"
"Pulmonary tuberculosis, confirmed by unspecified means with cavitation","Lung lobectomy","Major resection","Videoscopic","Left lateral decubitus","1","Major resection","50.0","Major","Thoracic","Laparoscopic","Thoracic Resection","Benign/Non-malignant | Primary | Lateral Decubitus","Est.Duration:2-4hr"
"Squamous cell carcinoma of lung right","Lung bilobectomy","Major resection","Videoscopic","Left lateral decubitus","1","Major resection","63.4","Major","Thoracic","Laparoscopic","Thoracic Resection","Malignancy | Primary | Lateral Decubitus","Est.Duration:2-5hr"
"Sarcoma","Intra-abdominal arterial bypass graft","Vascular","Open","Supine","1","Vascular","72.7","Major","Vascular","Open","Vascular Reconstruction","Malignancy | Primary | Transplant/Reconstruction | Supine","Est.Duration:1-3hr"
"Colon cancer, hepatic flexure","Anterior resection","Colorectal","Videoscopic","Lithotomy","1","Colorectal","67.9","Major","Abdominal / GI","Laparoscopic","Colectomy / Bowel Resection","Malignancy | Primary | Lithotomy","Est.Duration:1-3hr"
"Esophageal cancer","Feeding jejunostomy","Others","Open","Supine","1","Others","74.7","Minor","Soft Tissue / Access / Misc","Open","Access / Drainage Procedures","Malignancy | Primary | Supine","Est.Duration:1-3hr"
"Neurogenic tumor","Excision","Others","Videoscopic","Right lateral decubitus","1","CraniTumorSkullBase","73.8","Minor","Neuro / Spine","Laparoscopic","Craniotomy","Malignancy | Primary | Lateral Decubitus","Est.Duration:1-3hr"
"Colorectal polyp","Hemicolectomy","Colorectal","Open","Supine","1","Colorectal","70.5","Major","Abdominal / GI","Open","Colectomy / Bowel Resection","Benign/Non-malignant | Primary | Supine","Est.Duration:2-4hr"
"Lymph node metastasis, pelvic","Excision","Others","Open","Lithotomy","1","Others","58.6","Minor","Soft Tissue / Access / Misc","Open","Other Procedure","Malignancy | Primary | Lithotomy","Est.Duration:1-3hr"
"Ductal carcinoma in situ of breast","Breast-conserving surgery","Breast","Open","Supine","1","Breast","56.9","Major","ENT / Head & Neck","Open","Breast Surgery","Malignancy | Primary | Supine","Est.Duration:1-3hr"
"Lymph node metastasis, inguinal","Debulking surgery","Others","Open","Lithotomy","1","Others","66.4","Major","Soft Tissue / Access / Misc","Open","Other Procedure","Malignancy | Primary | Lithotomy","Est.Duration:2-5hr"
"Atherosclerosis obliterans","Embolectomy","Vascular","Open","Supine","1","Vascular","63.1","Major","Vascular","Open","Vascular Reconstruction","Benign/Non-malignant | Primary | Supine","Est.Duration:2-4hr"
"Gallbladder stonewithout obstruction","Cholecystectomy","Biliary/Pancreas","Videoscopic","Reverse Trendelenburg","1","Biliary/Pancreas","63.0","Major","Abdominal / GI","Laparoscopic","Cystoscopy / TURBT","Benign/Non-malignant | Primary | Trendelenburg","Est.Duration:<2hr"
"Colorectal cancer","Extended hemicolectomy","Colorectal","Videoscopic","Supine","1","Colorectal","76.6","Major","Abdominal / GI","Laparoscopic","Colectomy / Bowel Resection","Malignancy | Primary | Supine","Est.Duration:1-3hr"
"Solitary pulmonary nodule","Lung sgmentectomy","Minor resection","Videoscopic","Right lateral decubitus","1","Minor resection","68.6","Major","Thoracic","Laparoscopic","Thoracic Resection","Benign/Non-malignant | Primary | Lateral Decubitus","Est.Duration:2-4hr"
"Ileus","Exploratory laparotomy","Others","Open","Lithotomy","1","Others","88.9","Major","Soft Tissue / Access / Misc","Open","Other Procedure","Benign/Non-malignant | Primary | Lithotomy","Est.Duration:2-4hr"
"End stage renal disease","Endovascular aneurysmal repair","Vascular","Open","Supine","1","Vascular","76.9","Major","Vascular","Open","Vascular Reconstruction","Benign/Non-malignant | Revision | Supine","Est.Duration:2-5hr"
"Unclassified epithelial ovarian cancer unspecified side","Ileostomy","Colorectal","Open","Lithotomy","1","CraniEpilepsy","52.4","Major","Neuro / Spine","Open","Colectomy / Bowel Resection","Malignancy | Primary | Lithotomy","Est.Duration:1-3hr"
"Hepatocellular carcinoma","Gastrostomy","Stomach","Open","Supine","1","Stomach","63.9","Major","Abdominal / GI","Open","Gastric Resection","Malignancy | Primary | Supine","Est.Duration:<2hr"
"Acute myeloid leukemia","Incision and drainage","Colorectal","Open","Prone","1","Others","72.8","Minor","Soft Tissue / Access / Misc","Open","Colectomy / Bowel Resection","Benign/Non-malignant | Primary | Prone","Est.Duration:<2hr"
"Lipoma","Excision","Others","Open","Supine","1","Others","75.7","Minor","Soft Tissue / Access / Misc","Open","Other Procedure","Benign/Non-malignant | Primary | Supine","Est.Duration:1-3hr"
"Crohn's disease unspecified","Small bowel segmental resection","Stomach","Videoscopic","Lithotomy","1","Stomach","75.3","Major","Abdominal / GI","Laparoscopic","Colectomy / Bowel Resection","Benign/Non-malignant | Primary | Lithotomy","Est.Duration:1-3hr"
"Osteosarcoma of bone of limb","Closure of wound","Others","Open","Right lateral decubitus","1","Others","66.5","Minor","Soft Tissue / Access / Misc","Open","Other Procedure","Malignancy | Primary | Lateral Decubitus","Est.Duration:<2hr"
"Gastrointestinal stromal tumor","Gastric wedge resection","Stomach","Videoscopic","Supine","1","Stomach","70.1","Major","Abdominal / GI","Laparoscopic","Gastric Resection","Malignancy | Primary | Supine","Est.Duration:1-3hr"
"Malignant peripheral nerve sheath tumor","Excision","Others","Videoscopic","Right lateral decubitus","1","PituitaryTSA","61.9","Minor","Neuro / Spine","Laparoscopic","Other Procedure","Malignancy | Primary | Lateral Decubitus","Est.Duration:1-3hr"
"Colon cancer, sigmoid","Adhesiolysis","Others","Open","Supine","1","Others","66.9","Major","Soft Tissue / Access / Misc","Open","Other Procedure","Malignancy | Primary | Supine","Est.Duration:1-3hr"
"Benign neoplasm of carotid body","Endarterectomy","Vascular","Open","Supine","1","Carotid","71.2","Major","Vascular","Open","Vascular Reconstruction","Malignancy | Primary | Supine","Est.Duration:2-5hr"
"Lung cancer right","Metastasectomy","Minor resection","Videoscopic","Left lateral decubitus","1","Minor resection","70.8","Major","Thoracic","Laparoscopic","Other Procedure","Malignancy | Primary | Lateral Decubitus","Est.Duration:1-3hr"
"Colon cancer, rectosigmoid","Low anterior resection","Colorectal","Open","Sitting","1","Colorectal","71.8","Major","Abdominal / GI","Open","Colectomy / Bowel Resection","Malignancy | Primary | Sitting","Est.Duration:2-4hr"
"Kidney transplant status","Closure of wound","Others","Open","Supine","1","Others","68.3","Minor","Soft Tissue / Access / Misc","Open","Other Procedure","Benign/Non-malignant | Primary | Supine","Est.Duration:<2hr"
"Xanthogranulomatous cholecystitis","Cholecystectomy","Biliary/Pancreas","Videoscopic","Supine","1","Biliary/Pancreas","63.9","Major","Abdominal / GI","Laparoscopic","Cystoscopy / TURBT","Benign/Non-malignant | Primary | Supine","Est.Duration:<2hr"
"Intraductal papillary mucinous neoplasm of pancreas, high grade dysplasia","Distal pancreatectomy","Biliary/Pancreas","Open","Supine","1","Biliary/Pancreas","50.7","Major","Abdominal / GI","Open","Hepatobiliary / Pancreatic Resection","Malignancy | Primary | Supine","Est.Duration:2-4hr"
"Neoplasm of appendix, uncertain behavior","Ileocecectomy","Colorectal","Videoscopic","Lithotomy","1","Colorectal","60.8","Major","Abdominal / GI","Laparoscopic","Colectomy / Bowel Resection","Malignancy | Primary | Lithotomy","Est.Duration:1-3hr"
"Adenocarcinoma of lung","Lung lobectomy","Major resection","Videoscopic","Right lateral decubitus","1","Major resection","67.7","Major","Thoracic","Laparoscopic","Thoracic Resection","Malignancy | Primary | Lateral Decubitus","Est.Duration:2-4hr"
"Intraductal papilloma of breast unspecified side","Wide excision","Others","Open","Supine","1","Others","58.9","Minor","Soft Tissue / Access / Misc","Open","Other Procedure","Benign/Non-malignant | Primary | Supine","Est.Duration:<2hr"
"Colon cancer, descending","subtotal colectomy","Colorectal","Open","Supine","1","Colorectal","70.3","Major","Abdominal / GI","Open","Colectomy / Bowel Resection","Malignancy | Primary | Supine","Est.Duration:2-4hr"
"Neurofibroma","Excision","Others","Videoscopic","Left lateral decubitus","1","CraniTumorSkullBase","74.7","Minor","Neuro / Spine","Laparoscopic","Craniotomy","Benign/Non-malignant | Primary | Lateral Decubitus","Est.Duration:1-3hr"
"Pancreatic disease","Central pancreatectomy","Biliary/Pancreas","Open","Supine","1","Biliary/Pancreas","75.9","Major","Abdominal / GI","Open","Hepatobiliary / Pancreatic Resection","Benign/Non-malignant | Primary | Supine","Est.Duration:2-4hr"
"Squamous cell carcinoma of lung right","Lung bilobectomy","Major resection","Open","Left lateral decubitus","1","Major resection","63.4","Major","Thoracic","Open","Thoracic Resection","Malignancy | Primary | Lateral Decubitus","Est.Duration:2-5hr"
"Hydronephrosis with ureteropelvic junction obstruction","Pyeloplasty","Minor resection","Robotic","Left lateral decubitus","1","ElectrodeLeadPlacement","55.9","Major","Neuro / Spine","Robotic","Other Procedure","Benign/Non-malignant | Primary | Lateral Decubitus","Est.Duration:2-4hr"
"Intraductal papillary mucinous neoplasm of pancreas, benign","Pylorus preserving pancreaticoduodenectomy","Biliary/Pancreas","Robotic","Supine","1","Biliary/Pancreas","53.0","Major","Abdominal / GI","Robotic","Hepatobiliary / Pancreatic Resection","Malignancy | Primary | Supine","Est.Duration:>6hr"
"Constrictive pericarditis","Pericardial window operation","Others","Open","Supine","1","Others","75.0","Major","Soft Tissue / Access / Misc","Open","Other Procedure","Benign/Non-malignant | Primary | Supine","Est.Duration:1-3hr"
"Rectal cancer","Lung wedge resection","Minor resection","Videoscopic","Left lateral decubitus","1","Minor resection","78.6","Major","Thoracic","Laparoscopic","Thoracic Resection","Malignancy | Primary | Lateral Decubitus","Est.Duration:2-4hr"
"Aneurysm, abdominal aorta","Hernia repair","Colorectal","Open","Supine","1","Colorectal","65.8","Minor","Abdominal / GI","Open","Colectomy / Bowel Resection","Benign/Non-malignant | Revision | Supine","Est.Duration:<2hr"
"Gallbladder cancer","Exploratory laparotomy","Others","Open","Supine","1","Others","75.9","Major","Soft Tissue / Access / Misc","Open","Other Procedure","Malignancy | Primary | Supine","Est.Duration:2-4hr"
"Advanced gastric cancer","Remnant total gastrectomy","Stomach","Open","Supine","1","Stomach","74.5","Major","Abdominal / GI","Open","Gastric Resection","Malignancy | Revision | Supine","Est.Duration:2-5hr"
"Ductal carcinoma in situ of breast unspecified side","Wide excision","Others","Open","Supine","1","PumpSCSPlacementRevision","52.5","Minor","Neuro / Spine","Open","Other Procedure","Malignancy | Primary | Supine","Est.Duration:<2hr"
"Diverticulosis of large intestine with perforation and abscess without bleeding","Hartmann procedure","Colorectal","Open","Lithotomy","1","Colorectal","50.2","Major","Abdominal / GI","Open","Colectomy / Bowel Resection","Benign/Non-malignant | Primary | Lithotomy","Est.Duration:2-4hr"
"Adenocarcinoma of bladder","Partial cystectomy","Major resection","Robotic","Lithotomy","1","Major resection","69.3","Major","Urology","Robotic","Cystoscopy / TURBT","Malignancy | Primary | Lithotomy","Est.Duration:2-4hr"
"Ground-glass opacity","Lung wedge resection","Minor resection","Videoscopic","Supine","1","Minor resection","73.4","Major","Thoracic","Laparoscopic","Thoracic Resection","Benign/Non-malignant | Primary | Supine","Est.Duration:2-4hr"
"Ground glass opacity","Lung wedge resection","Minor resection","Videoscopic","Supine","1","Minor resection","73.4","Major","Thoracic","Laparoscopic","Thoracic Resection","Benign/Non-malignant | Primary | Supine","Est.Duration:2-4hr"
"Stomach cancer unspecified","Total gastrectomy","Stomach","Videoscopic","Supine","1","Stomach","68.1","Major","Abdominal / GI","Laparoscopic","Gastric Resection","Malignancy | Primary | Supine","Est.Duration:2-5hr"
"Arteriovenous fistula, traumatic","Arteriovenous graft","Vascular","Open","Supine","1","Vascular","96.3","Major","Vascular","Open","Vascular Reconstruction","Benign/Non-malignant | Primary | Supine","Est.Duration:2-4hr"
"Colon cancer, ascending","Hemicolectomy","Colorectal","Open","Trendelenburg","1","Colorectal","66.8","Major","Abdominal / GI","Open","Colectomy / Bowel Resection","Malignancy | Primary | Trendelenburg","Est.Duration:2-4hr"
"Intussusception","Ileocecectomy","Colorectal","Videoscopic","Supine","1","Colorectal","71.3","Major","Abdominal / GI","Laparoscopic","Colectomy / Bowel Resection","Benign/Non-malignant | Primary | Supine","Est.Duration:1-3hr"
"Rectal cancer","Transanal endoscopic microsurgery","Colorectal","Open","Left lateral decubitus","1","Colorectal","59.7","Minor","Abdominal / GI","Open","Colectomy / Bowel Resection","Malignancy | Primary | Lateral Decubitus","Est.Duration:1-3hr"
"sigmoid colon cancer","Lung lobectomy","Major resection","Videoscopic","Right lateral decubitus","1","Major resection","68.8","Major","Thoracic","Laparoscopic","Thoracic Resection","Malignancy | Primary | Lateral Decubitus","Est.Duration:2-4hr"
"Colon cancer, sigmoid","Hemicolectomy","Colorectal","Open","Lithotomy","1","Colorectal","67.9","Major","Abdominal / GI","Open","Colectomy / Bowel Resection","Malignancy | Primary | Lithotomy","Est.Duration:2-4hr"
"chronic renal failure","Kidney transplantation","Transplantation","Open","Supine","1","Transplantation","63.0","Major","Urology","Open","Transplant / Major Reconstruction","Benign/Non-malignant | Primary | Transplant/Reconstruction | Supine","Est.Duration:3-6hr"
"Carcinoid tumor of bronchus unspecified side","Rigid bronchoscopic excision","Others","Videoscopic","Supine","1","Others","67.9","Minor","Soft Tissue / Access / Misc","Laparoscopic","Other Procedure","Malignancy | Primary | Supine","Est.Duration:<2hr"
"Symptomatic gallbladder stone without obstruction","Cholecystectomy","Biliary/Pancreas","Videoscopic","Lithotomy","1","Biliary/Pancreas","62.8","Major","Abdominal / GI","Laparoscopic","Cystoscopy / TURBT","Benign/Non-malignant | Primary | Lithotomy","Est.Duration:<2hr"
"Twin pregnancy","McDonald operation","Others","Open","Lithotomy","1","Others","76.4","Major","Soft Tissue / Access / Misc","Open","Other Procedure","Benign/Non-malignant | Primary | Lithotomy","Est.Duration:<2hr"
"Hepatocellular adenoma","Liver sectionectomy","Hepatic","Videoscopic","Supine","1","Hepatic","71.5","Major","Abdominal / GI","Laparoscopic","Hepatobiliary / Pancreatic Resection","Benign/Non-malignant | Primary | Supine","Est.Duration:2-5hr"
"Gastrointestinal stromal tumor of rectum, malignant","Transanal endoscopic microsurgery","Colorectal","Open","Prone","1","Colorectal","52.7","Minor","Abdominal / GI","Open","Colectomy / Bowel Resection","Malignancy | Primary | Prone","Est.Duration:1-3hr"
"Epithelial ovarian cancer unknown stage unspecified side","Debulking surgery","Major resection","Open","Supine","1","Others","50.8","Major","Abdominal / GI","Open","Other Procedure","Malignancy | Primary | Supine","Est.Duration:2-5hr"
"Ventral hernia","Hernia repair","Colorectal","Open","Supine","1","Colorectal","72.1","Minor","Abdominal / GI","Open","Colectomy / Bowel Resection","Benign/Non-malignant | Revision | Supine","Est.Duration:<2hr"
"Autosomal dominant polycystic kidney disease","Liver transplantation","Transplantation","Open","Supine","1","Transplantation","63.6","Major","Abdominal / GI","Open","Hepatobiliary / Pancreatic Resection","Benign/Non-malignant | Primary | Transplant/Reconstruction | Supine","Est.Duration:>6hr"
"Crohn's disease moderate","Fistulectomy","Colorectal","Open","Prone","1","Colorectal","64.9","Major","Abdominal / GI","Open","Colectomy / Bowel Resection","Benign/Non-malignant | Primary | Prone","Est.Duration:<2hr"
